SPECIES,LATITUDE,LONGITUDE
"Myotis nattereri (Kuhl 1817)",41.33809,-7.315339
"Myotis nattereri (Kuhl 1817)",41.239478000000005,-7.422625
"Myotis nattereri (Kuhl 1817)",41.337439,-7.323913
"Myotis nattereri (Kuhl 1817)",41.230339,-7.422733
"Myotis nattereri (Kuhl 1817)",41.468871,-7.27612
"Myotis nattereri (Kuhl 1817)",41.28702,-7.392637
"Myotis nattereri (Kuhl 1817)",41.328753000000006,-7.358362
"Myotis nattereri (Kuhl 1817)",41.333308,-7.3411740000000005
"Myotis nattereri (Kuhl 1817)",41.334162,-7.339602
"Myotis nattereri (Kuhl 1817)",41.335840999999995,-7.336377000000001
"Myotis nattereri (Kuhl 1817)",41.336538,-7.336753999999999
"Myotis nattereri (Kuhl 1817)",41.286708000000004,-7.391757000000001
"Myotis nattereri (Kuhl 1817)",41.334309999999995,-7.336268
"Myotis nattereri (Kuhl 1817)",41.286691,-7.3919369999999995
"Myotis nattereri (Kuhl 1817)",41.242688,-7.393316
"Myotis nattereri (Kuhl 1817)",41.216068,-7.424175
"Myotis nattereri (Kuhl 1817)",41.237703,-7.422513
"Myotis nattereri (Kuhl 1817)",41.388293,-7.204703
"Myotis nattereri (Kuhl 1817)",41.226109,-7.421455
"Myotis nattereri (Kuhl 1817)",41.388302,-7.204703
"Myotis nattereri (Kuhl 1817)",41.407270000000004,-7.110805
"Myotis nattereri (Kuhl 1817)",41.348561,-7.27826
"Myotis nattereri (Kuhl 1817)",41.413058,-7.103644999999999
"Myotis nattereri (Kuhl 1817)",41.41323,-7.10375
"Myotis nattereri (Kuhl 1817)",41.415239,-7.104914999999999
"Myotis nattereri (Kuhl 1817)",41.412606,-7.136184
"Myotis nattereri (Kuhl 1817)",41.444302,-7.127203999999999
"Myotis nattereri (Kuhl 1817)",41.312982,-7.371167999999999
"Myotis nattereri (Kuhl 1817)",41.315416,-7.286527
"Myotis nattereri (Kuhl 1817)",41.314403999999996,-7.292128999999999
"Myotis nattereri (Kuhl 1817)",41.247415000000004,-7.413195
"Myotis nattereri (Kuhl 1817)",41.25176,-7.394106
"Myotis nattereri (Kuhl 1817)",41.279709999999994,-7.390115
"Myotis nattereri (Kuhl 1817)",41.214574,-7.427196
"Myotis nattereri (Kuhl 1817)",41.282107,-7.391845
"Myotis nattereri (Kuhl 1817)",41.240396000000004,-7.413939999999999
"Myotis nattereri (Kuhl 1817)",41.292342,-7.373416000000001
"Myotis nattereri (Kuhl 1817)",41.33781,-7.315235
"Myotis nattereri (Kuhl 1817)",41.315511,-7.285928999999999
"Myotis nattereri (Kuhl 1817)",41.315296999999994,-7.286254
"Myotis nattereri (Kuhl 1817)",41.328909,-7.3575479999999995
"Myotis nattereri (Kuhl 1817)",41.307643,-7.364507000000001
"Myotis nattereri (Kuhl 1817)",41.33067,-7.328186
"Myotis nattereri (Kuhl 1817)",41.242057,-7.391830000000001
"Myotis nattereri (Kuhl 1817)",41.330603,-7.327613
