SPECIES,LATITUDE,LONGITUDE
M.nattereri,41.308484,-7.585899
M.nattereri,41.308484,-7.585899
M.nattereri,41.308484,-7.585899
M.nattereri,41.308484,-7.585899
M.nattereri,41.308484,-7.585899
M.nattereri,41.308484,-7.585899
M.nattereri,41.308484,-7.585899
M.nattereri,41.308484,-7.585899
M.nattereri,41.308484,-7.585899
M.nattereri,41.308484,-7.585899
M.nattereri,41.308484,-7.585899
M.nattereri,41.308484,-7.585899
M.nattereri,41.308386,-7.586175
M.nattereri,41.308386,-7.586175
M.nattereri,41.308386,-7.586175
M.nattereri,41.308386,-7.586175
M.nattereri,41.308386,-7.586175
M.nattereri,41.308386,-7.586175
M.nattereri,41.308386,-7.586175
M.nattereri,41.308484,-7.585899
M.nattereri,41.308484,-7.585899
M.nattereri,41.308386,-7.586175
M.nattereri,41.308386,-7.586175
M.nattereri,41.308386,-7.586175
M.nattereri,41.308386,-7.586175
M.nattereri,41.308386,-7.586175
M.nattereri,41.308386,-7.586175
M.nattereri,41.308386,-7.586175
M.nattereri,41.308386,-7.586175
M.nattereri,41.287321,-7.587115
M.nattereri,41.308386,-7.586175
M.nattereri,41.308386,-7.586175
M.nattereri,41.308386,-7.586175
M.nattereri,41.308386,-7.586175
M.nattereri,41.288098,-7.581844
M.nattereri,41.288098,-7.581844
M.nattereri,41.308386,-7.586175
M.nattereri,41.308386,-7.586175
M.nattereri,41.308386,-7.586175
M.nattereri,41.308386,-7.586175
M.nattereri,41.308386,-7.586175
M.nattereri,41.287321,-7.587115
M.nattereri,41.287321,-7.587115
M.nattereri,41.288098,-7.581844
M.nattereri,41.288098,-7.581844
M.nattereri,41.287321,-7.587115
M.nattereri,41.288098,-7.581844
M.nattereri,41.30255,-7.574558000000001
M.nattereri,41.30255,-7.574558000000001
M.nattereri,41.288098,-7.581844
M.nattereri,41.30255,-7.574558000000001
M.nattereri,41.30255,-7.574558000000001
M.nattereri,41.30255,-7.574558000000001
M.nattereri,41.30255,-7.574558000000001
M.nattereri,41.30255,-7.574558000000001
